date,blood_group,units_requested,day_of_week,month,is_weekend
2024-01-01,A+,27,0,1,0
2024-01-02,A+,29,1,1,0
2024-01-03,A+,29,2,1,0
2024-01-04,A+,28,3,1,0
2024-01-05,A+,31,4,1,0
2024-01-06,A+,27,5,1,1
2024-01-07,A+,26,6,1,1
2024-01-08,A+,27,0,1,0
2024-01-09,A+,27,1,1,0
2024-01-10,A+,26,2,1,0
2024-01-11,A+,31,3,1,0
2024-01-12,A+,22,4,1,0
2024-01-13,A+,18,5,1,1
2024-01-14,A+,20,6,1,1
2024-01-15,A+,36,0,1,0
2024-01-16,A+,30,1,1,0
2024-01-17,A+,35,2,1,0
2024-01-18,A+,31,3,1,0
2024-01-19,A+,28,4,1,0
2024-01-20,A+,20,5,1,1
2024-01-21,A+,17,6,1,1
2024-01-22,A+,42,0,1,0
2024-01-23,A+,36,1,1,0
2024-01-24,A+,33,2,1,0
2024-01-25,A+,24,3,1,0
2024-01-26,A+,28,4,1,0
2024-01-27,A+,18,5,1,1
2024-01-28,A+,23,6,1,1
2024-01-29,A+,26,0,1,0
2024-01-30,A+,27,1,1,0
2024-01-31,A+,26,2,1,0
2024-02-01,A+,26,3,2,0
2024-02-02,A+,28,4,2,0
2024-02-03,A+,19,5,2,1
2024-02-04,A+,28,6,2,1
2024-02-05,A+,32,0,2,0
2024-02-06,A+,24,1,2,0
2024-02-07,A+,29,2,2,0
2024-02-08,A+,24,3,2,0
2024-02-09,A+,26,4,2,0
2024-02-10,A+,23,5,2,1
2024-02-11,A+,24,6,2,1
2024-02-12,A+,25,0,2,0
2024-02-13,A+,22,1,2,0
2024-02-14,A+,28,2,2,0
2024-02-15,A+,30,3,2,0
2024-02-16,A+,24,4,2,0
2024-02-17,A+,25,5,2,1
2024-02-18,A+,24,6,2,1
2024-02-19,A+,24,0,2,0
2024-02-20,A+,33,1,2,0
2024-02-21,A+,33,2,2,0
2024-02-22,A+,38,3,2,0
2024-02-23,A+,36,4,2,0
2024-02-24,A+,16,5,2,1
2024-02-25,A+,25,6,2,1
2024-02-26,A+,32,0,2,0
2024-02-27,A+,26,1,2,0
2024-02-28,A+,30,2,2,0
2024-02-29,A+,18,3,2,0
2024-03-01,A+,23,4,3,0
2024-03-02,A+,16,5,3,1
2024-03-03,A+,27,6,3,1
2024-03-04,A+,35,0,3,0
2024-03-05,A+,32,1,3,0
2024-03-06,A+,42,2,3,0
2024-03-07,A+,38,3,3,0
2024-03-08,A+,25,4,3,0
2024-03-09,A+,24,5,3,1
2024-03-10,A+,20,6,3,1
2024-03-11,A+,35,0,3,0
2024-03-12,A+,33,1,3,0
2024-03-13,A+,29,2,3,0
2024-03-14,A+,42,3,3,0
2024-03-15,A+,33,4,3,0
2024-03-16,A+,23,5,3,1
2024-03-17,A+,23,6,3,1
2024-03-18,A+,41,0,3,0
2024-03-19,A+,38,1,3,0
2024-03-20,A+,32,2,3,0
2024-03-21,A+,28,3,3,0
2024-03-22,A+,29,4,3,0
2024-03-23,A+,22,5,3,1
2024-03-24,A+,27,6,3,1
2024-03-25,A+,37,0,3,0
2024-03-26,A+,29,1,3,0
2024-03-27,A+,37,2,3,0
2024-03-28,A+,29,3,3,0
2024-03-29,A+,30,4,3,0
2024-03-30,A+,17,5,3,1
2024-03-31,A+,17,6,3,1
2024-04-01,A+,28,0,4,0
2024-04-02,A+,33,1,4,0
2024-04-03,A+,28,2,4,0
2024-04-04,A+,41,3,4,0
2024-04-05,A+,28,4,4,0
2024-04-06,A+,26,5,4,1
2024-04-07,A+,31,6,4,1
2024-04-08,A+,34,0,4,0
2024-04-09,A+,31,1,4,0
2024-04-10,A+,34,2,4,0
2024-04-11,A+,30,3,4,0
2024-04-12,A+,28,4,4,0
2024-04-13,A+,28,5,4,1
2024-04-14,A+,22,6,4,1
2024-04-15,A+,38,0,4,0
2024-04-16,A+,37,1,4,0
2024-04-17,A+,34,2,4,0
2024-04-18,A+,38,3,4,0
2024-04-19,A+,30,4,4,0
2024-04-20,A+,29,5,4,1
2024-04-21,A+,29,6,4,1
2024-04-22,A+,32,0,4,0
2024-04-23,A+,31,1,4,0
2024-04-24,A+,35,2,4,0
2024-04-25,A+,43,3,4,0
2024-04-26,A+,32,4,4,0
2024-04-27,A+,22,5,4,1
2024-04-28,A+,31,6,4,1
2024-04-29,A+,33,0,4,0
2024-04-30,A+,37,1,4,0
2024-05-01,A+,35,2,5,0
2024-05-02,A+,18,3,5,0
